file,start_time,end_time,x,y,bird_id,filename,img_idx,img_path,img_url
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,266.4808755,269.4808755,8.295537,7.0923886,r02,02-20171031-MZ000003,02-20171031-MZ000003-266.48-269.48,assets/02-20171031-MZ000003-266.48-269.48.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-266.48-269.48.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,280.6953935,283.6953935,8.673529,6.7238016,r02,02-20171031-MZ000003,02-20171031-MZ000003-280.7-283.7,assets/02-20171031-MZ000003-280.7-283.7.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-280.7-283.7.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,297.9359825,300.9359825,8.683501,6.8613505,r02,02-20171031-MZ000003,02-20171031-MZ000003-297.94-300.94,assets/02-20171031-MZ000003-297.94-300.94.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-297.94-300.94.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,326.059741,329.059741,8.576536,6.117141,r02,02-20171031-MZ000003,02-20171031-MZ000003-326.06-329.06,assets/02-20171031-MZ000003-326.06-329.06.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-326.06-329.06.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,327.574684,330.574684,8.203513,7.2587748,r02,02-20171031-MZ000003,02-20171031-MZ000003-327.57-330.57,assets/02-20171031-MZ000003-327.57-330.57.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-327.57-330.57.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,341.4533965,344.4533965,8.329358,7.601683,r02,02-20171031-MZ000003,02-20171031-MZ000003-341.45-344.45,assets/02-20171031-MZ000003-341.45-344.45.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-341.45-344.45.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,344.303932,347.303932,9.228478,8.162209,r02,02-20171031-MZ000003,02-20171031-MZ000003-344.3-347.3,assets/02-20171031-MZ000003-344.3-347.3.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-344.3-347.3.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,349.0739045,352.0739045,9.013899,7.828542,r02,02-20171031-MZ000003,02-20171031-MZ000003-349.07-352.07,assets/02-20171031-MZ000003-349.07-352.07.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-349.07-352.07.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,353.0844975,356.0844975,8.502794,6.726769,r02,02-20171031-MZ000003,02-20171031-MZ000003-353.08-356.08,assets/02-20171031-MZ000003-353.08-356.08.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-353.08-356.08.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,354.9810385,357.9810385,9.248131,9.229833,r02,02-20171031-MZ000003,02-20171031-MZ000003-354.98-357.98,assets/02-20171031-MZ000003-354.98-357.98.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-354.98-357.98.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,361.2392425,364.2392425,8.671423,5.9496384,r02,02-20171031-MZ000003,02-20171031-MZ000003-361.24-364.24,assets/02-20171031-MZ000003-361.24-364.24.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-361.24-364.24.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,362.899193,365.899193,8.954052,8.104543,r02,02-20171031-MZ000003,02-20171031-MZ000003-362.9-365.9,assets/02-20171031-MZ000003-362.9-365.9.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-362.9-365.9.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,364.5591435,367.5591435,8.278146,7.5619,r02,02-20171031-MZ000003,02-20171031-MZ000003-364.56-367.56,assets/02-20171031-MZ000003-364.56-367.56.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-364.56-367.56.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,369.329116,372.329116,8.681884,6.0047927,r02,02-20171031-MZ000003,02-20171031-MZ000003-369.33-372.33,assets/02-20171031-MZ000003-369.33-372.33.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-369.33-372.33.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,371.233289,374.233289,9.316498,8.243404,r02,02-20171031-MZ000003,02-20171031-MZ000003-371.23-374.23,assets/02-20171031-MZ000003-371.23-374.23.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-371.23-374.23.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,376.4420995,379.4420995,8.644382,6.0575433,r02,02-20171031-MZ000003,02-20171031-MZ000003-376.44-379.44,assets/02-20171031-MZ000003-376.44-379.44.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-376.44-379.44.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,381.7844685,384.7844685,8.706053,5.953136,r02,02-20171031-MZ000003,02-20171031-MZ000003-381.78-384.78,assets/02-20171031-MZ000003-381.78-384.78.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-381.78-384.78.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,383.5169225,386.5169225,9.172555,8.192847,r02,02-20171031-MZ000003,02-20171031-MZ000003-383.52-386.52,assets/02-20171031-MZ000003-383.52-386.52.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-383.52-386.52.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,390.133829,393.133829,8.765824,6.043678,r02,02-20171031-MZ000003,02-20171031-MZ000003-390.13-393.13,assets/02-20171031-MZ000003-390.13-393.13.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-390.13-393.13.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,396.819422,399.819422,8.256559,9.154198,r02,02-20171031-MZ000003,02-20171031-MZ000003-396.82-399.82,assets/02-20171031-MZ000003-396.82-399.82.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-396.82-399.82.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,398.914394,401.914394,9.29972,9.204847,r02,02-20171031-MZ000003,02-20171031-MZ000003-398.91-401.91,assets/02-20171031-MZ000003-398.91-401.91.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-398.91-401.91.png
/Users/lviotti/Library/CloudStorage/Dropbox/Work/Kitzes/datasets/omao-individual-recordings/audio-clean/r02/02-20171031-MZ000003.wav,442.3249605,445.3249605,8.41099,7.711086,r02,02-20171031-MZ000003,02-20171031-MZ000003-442.32-445.32,assets/02-20171031-MZ000003-442.32-445.32.png,https://raw.githubusercontent.com/LeonardoViotti/scatter-aiid-app/main/assets/02-20171031-MZ000003-442.32-445.32.png
